entity_id,name,type,era,faction,first_appearance,medium,canon_status,description,your_take,your_rating,mood,visual_description,image_note
c_dooku,Count Dooku,character,prequel,"Sith, Separatists",Attack of the Clones (2002),film,canon,"Fallen Jedi turned Sith Lord under Sidious, leader of the Separatists during the Clone Wars.","Christopher Lee elevates everything. Underused but every scene he's in feels heavier than the movie around him, and the curved-hilt saber is the coolest weapon in the franchise.",7,political,"Tall older man with silver hair and goatee, regal black robes, distinctive curved-hilt red lightsaber.",AOTC portrait with curved-hilt saber
c_maul,Darth Maul,character,prequel,Sith,The Phantom Menace (1999),"film, show",canon,"Sith Lord, Sidious's first apprentice, central to Episode I and later resurrected in Clone Wars and Rebels.","Episode 1 fight is iconic and the double-bladed saber instantly became the coolest thing in the franchise. Clone Wars and Rebels Maul is even better — they figured out his potential outside the films.",8,epic,"Red and black tattooed Zabrak with crown of horns, yellow eyes, double-bladed red lightsaber.",TPM full-face portrait with horns
c_kylo,Kylo Ren,character,sequel,"First Order, Knights of Ren",The Force Awakens (2015),film,canon,"Ben Solo, son of Han and Leia, fallen apprentice of Luke, central villain of the sequel trilogy.","Hated that character arc. Tantrum villain that never earned the ending the sequels tried to give him. The mask-off / mask-on stuff got old fast and the redemption felt unearned.",4,tragic,"Tall man with dark wavy hair, often in black robes with a distinctive crossguard red lightsaber that crackles unstably. Frequently masked in a black helmet with silver accents.",TFA masked portrait
c_rey,Rey,character,sequel,Resistance,The Force Awakens (2015),film,canon,"Protagonist of the sequel trilogy, scavenger from Jakku, eventually revealed as Palpatine's granddaughter.","Fine as a character until they made her a Palpatine — that was pure bullshit and undid whatever they had built. The 'Rey nobody' angle had real weight that the third film just threw out.",5,epic,"Brown-haired young woman in beige scavenger wrappings, staff usually slung across her back, later a blue lightsaber and eventually a yellow one.",TFA Jakku scavenger portrait
c_palp_sequels,Palpatine (sequel resurrection),character,sequel,Sith,The Rise of Skywalker (2019),film,canon,"The sequel-trilogy version of Palpatine revealed to be alive in The Rise of Skywalker, ruling from Exegol.","'Somehow Palpatine returned' is the worst sentence in Star Wars. Undoes the entire OT payoff for nothing. Pure bullshit and the saga deserved better.",2,political,"Decaying corpse-like version of Palpatine, hooked into cables and machinery in dark Sith ruins, milky eyes, withered hands.",TROS Exegol cable-rig portrait
c_hux,General Hux,character,sequel,First Order,The Force Awakens (2015),film,canon,"First Order general, ideological fascist, foil to Kylo Ren across the sequel trilogy.","Funny on purpose, change my mind. The straight-man-fascist energy in TFA holds up, the speech sequence is camp on purpose. They just didn't know what to do with him after.",7,"goofy, political","Pale ginger-haired man with sharp features in a sharp black First Order officer's uniform with high collar.",TFA Starkiller Base speech portrait
c_cassian,Cassian Andor,character,original,Rebel Alliance,Rogue One (2016),"film, show",canon,"Rebel intelligence officer central to Rogue One and protagonist of the Andor show.","The Rogue One arc and the Andor show together make him one of the most fully realised characters in the franchise. Real stakes, real cost, no chosen-one nonsense — just a guy who keeps choosing the harder thing.",9,"tragic, political","Dark-haired man with a guarded expression, usually in muted civilian clothes or grimy rebel gear, no flashy weapons.",Andor S1 promotional portrait
c_mon_mothma,Mon Mothma,character,original,Rebel Alliance,Return of the Jedi (1983),"film, show",canon,"Senator from Chandrila, secret architect of the Rebellion, central to Andor and Rogue One.","The dinner scene in Andor is some of the best acting in Star Wars period. Quiet politics, devastating personal cost, all of it carried in glances. Genevieve O'Reilly cooks.",8,"political, tragic","Auburn-haired woman in formal pale senatorial robes with high collar, composed expression, often in marbled senate or opulent Coruscanti settings.",Andor S1 senator portrait
c_luthen,Luthen Rael,character,original,Rebel Alliance,Andor (2022),show,canon,"Rebel spymaster and antiquities dealer, the man behind Cassian in the Andor show.","'I burn my decency for that sunrise I will never see' — that monologue is up there with the best Star Wars writing ever. Stellan Skarsgård carrying the show on speeches alone.",9,"political, tragic","Bearded older man with a silver streak in his hair, sharp coats and high collars befitting a Coruscanti gallery owner.",Andor S1 gallery portrait
c_tarkin,Grand Moff Tarkin,character,original,Empire,A New Hope (1977),film,canon,"Grand Moff of the Empire and commander of the Death Star, central villain of ANH and Rogue One. Architect of the Tarkin Doctrine.","Terrifyingly normal. No Force powers, no lightsaber — just cold logic and ruthless ambition, and that makes him scarier than half the Sith. Up there with Thrawn as one of the best villains in the franchise.",9,"political, epic","Gaunt older man with sharp cheekbones and grey hair, immaculate olive-grey Imperial officer's uniform with rank plaque, rigid military posture.",ANH bridge portrait or Rogue One CGI
c_bokatan,Bo-Katan Kryze,character,clone_wars,"Mandalorian, Rebel Alliance",The Clone Wars (2012),"film, show",canon,"Mandalorian warrior, sister of Duchess Satine, leader of the Nite Owls. Central across Clone Wars, Rebels, and Mandalorian S2-3. Eventually wields the Darksaber.","A deeply flawed character whose whole focus is Mandalore. Goes from naive extremist to weary pragmatic leader who actually learns from her failures — the S3 arc earned that, even if S3 overall didn't quite work.",8,"tragic, political, epic","Auburn-haired woman in blue-and-grey Mandalorian beskar armor with distinct nite-owl emblem on the chestplate, helmet often held under one arm.",Mando S3 live-action portrait
c_jarjar,Jar Jar Binks,character,prequel,Galactic Republic,The Phantom Menace (1999),film,canon,"Gungan from Naboo, central to Episode I and increasingly background through II and III. Inadvertently helped Palpatine seize emergency powers.","The clumsy stuff is genuinely bad but the senate arc is tragic — he's the guy who hands fascism the keys without realising. Unfairly maligned. Episode 1 is rough on him but the character isn't the disaster fandom made him.",6,"goofy, political, tragic","Tall amphibious Gungan with long floppy ears, orange-and-yellow skin, expressive eyes on stalks, simple leather vest.",TPM CGI portrait
c_din,Din Djarin,character,new_republic,Mandalorian,The Mandalorian (2019),show,canon,"Mandalorian bounty hunter, foster father to Grogu, protagonist of The Mandalorian.","The Mando-Grogu chemistry is the heart of post-OT Star Wars. He works because he's underwritten in the right way — actions over speeches, helmet stays on, and that's enough.",9,epic,"Helmeted figure in burnished silver beskar armor (initially mixed metal), brown cape, blaster on hip, often a long rifle on his back.",Mando S2 full beskar portrait
c_grogu,Grogu,character,new_republic,Mandalorian,The Mandalorian (2019),show,canon,"Young being of Yoda's species, found and raised by Din Djarin in The Mandalorian.","The cutest thing in Star Wars and they earned every bit of it across S1 and S2. The bond with Mando is real, and the Luke pickup at the end of S2 hit because of how patiently they built it.",9,epic,"Small green creature with long pointed ears and large dark eyes, wearing a beige robe, frequently in a floating pram. Yoda's species, often called Baby Yoda.",Mando S1/S2 in pram
c_thrawn_legends,Grand Admiral Thrawn (Legends),character,legends,Empire,Heir to the Empire (1991),"book, comic",legends,"Grand Admiral of the Empire in the Thrawn trilogy (Zahn novels) and old EU comics. Chiss tactician, blue-skinned with red eyes, defeated by understanding his enemies' art.","Thrawn in the Zahn books and Rebels was great — a villain who wins by being smarter than everyone. The whole 'studies the enemy's art to predict their tactics' thing is the coolest villain concept in Star Wars.",9,"political, epic","Blue-skinned Chiss man with neatly slicked black hair and glowing red eyes, in a pristine white Imperial Grand Admiral uniform with gold epaulets.",Zahn novel cover or Rebels animated portrait
c_revan,Revan,character,legends,"Jedi Order, Sith",Knights of the Old Republic (2003),game,legends,"Protagonist of Knights of the Old Republic, a Jedi who fell to the dark side, was redeemed, one of the most iconic Legends-only characters.","The KOTOR twist is one of the best in any Star Wars story, full stop. The fact that Disney shoved him into Legends instead of canonizing him is a crime — he deserves better than being a footnote.",8,"tragic, epic","Hooded figure in dark robes with a distinctive Mandalorian-style mask, half black and half grey-silver, red lightsaber. Often depicted in full Jedi or Sith regalia.",KOTOR cover art portrait
s_falcon,Millennium Falcon,ship,original,Rebel Alliance,A New Hope (1977),film,canon,"Modified YT-1300 light freighter, Han Solo and Chewbacca's ship, the fastest hunk of junk in the galaxy.","The most iconic ship in cinema. The fact that it's a junker that keeps barely working is the whole personality of OT compressed into one design. Made the Kessel Run in twelve parsecs.",10,epic,"Saucer-shaped freighter with two forward mandibles, a circular cockpit on the side, weathered white-and-grey paint, exposed mechanical detailing all over.",OT side-profile shot
s_xwing,X-wing Starfighter,ship,original,Rebel Alliance,A New Hope (1977),film,canon,"Rebel Alliance's primary starfighter, single-pilot four-engine craft with split S-foils.","Perfect rebel ship — looks like something that gets the job done, not something designed for a poster. Trench run forever.",9,epic,"Sleek grey fighter with four wings that split into an X when ready to fire, R-series astromech in a slot behind the cockpit.",ANH trench-run profile
s_tie,TIE Fighter,ship,original,Empire,A New Hope (1977),film,canon,"Imperial standard short-range starfighter, defined by its twin ion engines and hexagonal wing panels.","The scream alone earns the rating. Everything fascist about the Empire compressed into one silhouette — disposable, mass-produced, terrifying.",9,epic,"Black ball cockpit flanked by two enormous flat hexagonal solar panels, no landing gear, no shields — pure offense.",ANH classic side-profile
s_stardestroyer,Imperial Star Destroyer,ship,original,Empire,A New Hope (1977),film,canon,"Imperial capital ship, triangular dagger-shaped vessel central to the Empire's reach.","The opening shot of ANH still works because of how this thing dwarfs everything. Pure scale, no dialogue needed.",9,epic,"Massive triangular grey warship over a kilometer long, tower bridge superstructure on top, thousands of lit windows along its surface.",ANH opening shot profile
s_deathstar,Death Star,ship,original,Empire,A New Hope (1977),film,canon,"Moon-sized Imperial battle station capable of destroying planets, central to ANH and ROTJ.","More a planet than a ship but the trench run and the throne room sequence give it more narrative weight than any other vehicle in the saga. The second Death Star reveal in ROTJ still lands.",8,epic,"Grey moon-sized sphere with a massive concave dish on one hemisphere and a deep equatorial trench, surface covered in tower-spires.",ANH full sphere with dish visible
s_uwing,U-wing,ship,original,Rebel Alliance,Rogue One (2016),film,canon,"Rebel troop transport and gunship, defined by the Scarif beach insertion in Rogue One.","Rogue One's underrated workhorse. The Scarif beach insertion gives it one of the best ship moments in the franchise — feels like a Vietnam-era helo in Star Wars form.",8,epic,"Rebel-grey transport with two large rectangular wings that swing forward into landing mode, side doors open in flight for gunners.",Rogue One Scarif side profile
s_razorcrest,Razor Crest,ship,new_republic,Mandalorian,The Mandalorian (2019),show,canon,"Din Djarin's pre-Empire era patrol ship, his home and gunship across Mandalorian S1 and S2.","Mando's ship had so much personality that the destruction in S2 actually hurt. Best new ship design in years — looks lived-in and obsolete in exactly the right way.",9,tragic,"Tubby grey gunship with a flat profile, two vertical engines mounted on either side, riveted plate hull that looks decades out of fashion.",Mando S1 landed profile
s_slave1,Slave I / Firespray,ship,original,Bounty Hunter,The Empire Strikes Back (1980),film,canon,"Boba Fett's vertically-oriented patrol ship, originally his father Jango's. Distinctive flat profile that flips in flight.","Cool design, mostly carried by Boba's reputation. The rotating cockpit gimmick is great, even if Book of Boba did the ship few favours.",7,epic,"Stubby grey-and-green ship shaped like a flat-iron, lands vertically with the cockpit pointing up, flips horizontal in flight.",ESB Cloud City landing profile
s_naboo,Naboo N-1 Starfighter,ship,prequel,Galactic Republic,The Phantom Menace (1999),film,canon,"Royal Naboo starfighter, defined by its chrome finish and yellow accents, central to Episode I.","Chrome curves and yellow trim — the most prequel ship that ever prequel'd. Looks like a luxury car had a baby with a fighter jet, and somehow it works.",7,epic,"Sleek elongated fighter with mirror-polished chrome body, yellow accent panels, twin forward engines, single-pilot cockpit and astromech socket.",TPM hangar profile
s_atat,AT-AT,ship,original,Empire,The Empire Strikes Back (1980),film,canon,"All Terrain Armored Transport, Imperial four-legged walker central to the Battle of Hoth.","Technically a walker but the Hoth assault is one of the best action sequences in OT. Slow, dumb, unstoppable — perfect Imperial design philosophy.",8,epic,"Towering quadrupedal grey walker with a boxy head turret on a thick neck, dual heavy cannons on the chin, troop-bay rear.",ESB Hoth assault profile
s_jedi_interceptor,Eta-2 Jedi Interceptor,ship,prequel,"Jedi Order, Galactic Republic",Revenge of the Sith (2005),film,canon,"The compact Jedi starfighter from Revenge of the Sith, flown by Anakin and Obi-Wan in the opening Coruscant battle.","The opening battle of ROTS gives this thing one of the best dogfight sequences in the saga. Tiny, fast, and the buzz droid section is genuinely tense.",8,epic,"Sleek wedge-shaped fighter with two folding solar panel wings, yellow (Anakin's) or red (Obi-Wan's) markings, exposed astromech socket on top.",ROTS opening battle profile
s_republic_gunship,LAAT/i Republic Gunship,ship,clone_wars,Galactic Republic,Attack of the Clones (2002),"film, show",canon,"The Republic's primary troop dropship across the Clone Wars, hauling clone troopers into ground battles.","Drops the clones into every major prequel battle and looks the part — like a Vietnam helo redesigned for Star Wars. The Geonosis arena landing is when the prequels actually feel like war.",7,epic,"Bulky two-engine military gunship with side troop bays, ball-turrets on each side, mottled grey-and-red Republic markings.",AOTC Geonosis arena profile
p_tatooine,Tatooine,planet,original,Various,A New Hope (1977),film,canon,"Desert planet with twin suns, home of Anakin and later Luke Skywalker. Recurring throughout the saga.","Overused at this point but it's the home planet — every time we go back it still feels like Star Wars. Even the Boba show and Mando go back, and you can see why.",7,epic,"Vast tan desert dunes under two suns, scattered cantina towns of beige domed buildings, moisture-vaporator silhouettes, the Lars homestead exterior.",ANH binary sunset
p_coruscant,Coruscant,planet,prequel,Galactic Republic,The Phantom Menace (1999),film,canon,"Galactic capital, city-planet, home of the Galactic Senate and the Jedi Temple. Central to the prequels.","The skyline shots in the prequels are one of the few things that aged perfectly. The opera scene, the Senate, the Jedi Temple — all weight. The whole planet feels like it's running the galaxy.",8,political,"Endless city covering the entire planet, layered skylanes of traffic, towering art-deco spires, the cylindrical Senate building and the pyramid Jedi Temple.",AOTC skyline at dusk
p_hoth,Hoth,planet,original,Rebel Alliance,The Empire Strikes Back (1980),film,canon,"Frozen ice planet, site of the Rebel Echo Base and the iconic opening of The Empire Strikes Back.","The opening of Empire is the best opening of any Star Wars movie. The wampa, the tauntauns, the AT-ATs walking across the white horizon — perfect.",9,epic,"Endless white snow plains and ice ridges, rebel ion cannons on the surface, ice caves with frozen stalactites inside, blue-tinged horizon.",ESB Hoth surface with AT-ATs in distance
p_dagobah,Dagobah,planet,original,Neutral,The Empire Strikes Back (1980),film,canon,"Swamp planet, Yoda's exile after Order 66, site of Luke's Jedi training in The Empire Strikes Back.","The training scenes are sacred. Mud, fog, Yoda — nothing else in the franchise feels like Dagobah. The vision in the cave is one of the franchise's best beats.",8,tragic,"Dense fog-shrouded swamp with massive twisted trees, knee-deep murky water, hanging vines, Yoda's tiny mud-and-clay hut.",ESB Yoda's hut in the mist
p_endor,Endor,planet,original,Rebel Alliance,Return of the Jedi (1983),film,canon,"Forest moon, site of the second Death Star's shield generator and the climactic battle of Return of the Jedi.","The forest moon battle is great. The Ewoks divide people but I'm fine with them — they fit the OT's storybook tone, and the Imperial defeat by primitive teddy bears is on-theme.",7,epic,"Towering ancient redwood-like trees, dappled green forest floor, wooden Ewok villages built high in the canopy, speeder-bike chase trails.",ROTJ forest with Ewok village
p_mustafar,Mustafar,planet,prequel,Empire,Revenge of the Sith (2005),film,canon,"Volcanic lava planet, site of the Anakin-Obi-Wan duel in ROTS and Vader's later fortress.","The ROTS duel is everything. Lava planet as the literal venue for the worst thing that happens in the saga — perfect setting choice. Hellscape that earns the metaphor.",9,"tragic, cathartic","Black volcanic landscape with rivers of orange lava, ash-filled sky, mining structures suspended over flows, later Vader's brutalist black tower.",ROTS duel cliff with lava behind
p_crait,Crait,planet,sequel,Resistance,The Last Jedi (2017),film,canon,"Mineral-rich planet of red salt under a white crust, site of the climactic Resistance stand in The Last Jedi.","The most beautiful Star Wars planet visually. Red salt under white crust, the AT-M6 sequence, Luke's final stand — best thing in the sequels and it's not close.",10,"epic, cathartic","Pristine white salt plains that crack open to reveal blood-red mineral beneath, leaving long red streaks behind skimming speeders. Old rebel base built into a cliff.",TLJ skimmer chase with red streaks visible
p_jedha,Jedha,planet,original,Empire,Rogue One (2016),film,canon,"Moon central to the Jedi religion, site of the Holy City and a major Imperial occupation in Rogue One.","Rogue One's Holy City. The first place Star Wars showed religious occupation as a real thing, and the destruction lands because of how lived-in it feels in the brief time we have there.",8,"political, tragic","Frozen desert moon with a walled Holy City of tan stone buildings, NiJedha's massive crashed kyber statue, occupying Imperial walkers in the streets.",Rogue One Holy City overview
e_order66,Order 66,episode,prequel,"Sith, Empire",Revenge of the Sith (2005),"film, show",canon,"The galaxy-wide execution of the Jedi Order at the climax of Revenge of the Sith, depicted via montage in ROTS and revisited across Clone Wars and Bad Batch.","Such a tragic story. Watching the Jedi get cut down in pieces, the Padawan in the temple — ROTS earns the brutality of this sequence. The Clone Wars finale version somehow hits even harder.",10,tragic,"Multiple intercut scenes of clone troopers turning on their Jedi generals across various planets, Anakin marching on the Jedi Temple, younglings in shadow, fires and falling bodies.",ROTS Anakin marching on Jedi Temple
e_vader_hallway,Vader Hallway Scene (Rogue One),episode,original,Empire,Rogue One (2016),film,canon,"The climactic sequence of Rogue One where Darth Vader boards the rebel flagship to recover the Death Star plans.","Peak cinema. One minute, no dialogue, and it justifies Vader as a movie monster again after the prequels softened him. The single best minute of Star Wars on film. Hard to top.",10,"epic, cathartic","Dim red emergency lighting in a narrow corridor, silhouette of Vader igniting his red saber, rebels frantically passing the data tape down a line as he cuts through them one by one.",Rogue One red corridor with Vader saber lit
e_obi_vader_rematch,Obi-Wan vs Vader (Kenobi show),episode,original,"Jedi Order, Empire",Obi-Wan Kenobi (2022),show,canon,"The final-episode rematch between Obi-Wan Kenobi and Darth Vader in the Kenobi Disney+ series.","Too thrilling. The rematch the films should have given us, finally delivered. 'There you are, my old friend' — and the broken mask reveal of Anakin underneath is one of the franchise's best beats.",10,"epic, tragic, cathartic","Two figures duelling on a dark rocky outcrop, blue and red sabers, sparks against night sky, Vader's helmet cracked open mid-fight to show one yellow eye and burnt half-face.",Kenobi show broken-mask reveal
e_anakin_fall,Anakin's Fall (ROTS third act),episode,prequel,"Jedi Order, Sith",Revenge of the Sith (2005),film,canon,"The third act of Revenge of the Sith, encompassing Mace Windu's death, Order 66, the Jedi Temple march, and the Mustafar duel.","Best 30 minutes of the saga. The temple raid, Mustafar, 'you were my brother' — cried then and still cry now. Whatever you think of the prequels overall, this stretch is untouchable.",10,tragic,"Sequence of intercut moments — Anakin in dark Jedi robes leading clones into the temple, fires on Mustafar, the lava-bank duel, Padmé on Polis Massa, the Vader suit closing in low orange light.",ROTS Mustafar duel high-ground shot
e_andor_s1,Andor Season 1,episode,original,Rebel Alliance,Andor (2022),show,canon,"The first season of Andor, prequel to Rogue One, following Cassian's slow recruitment into the Rebellion alongside parallel storylines for Mon Mothma and Luthen Rael.","Politics, dread, real stakes, the Luthen speech, the prison arc — this is what Star Wars can be when it's allowed to be serious. The dinner scene, the Aldhani heist, every Luthen monologue.",10,"political, tragic","Muted color palette across Coruscanti senate halls, industrial Ferrix exteriors, white sterile prison levels, and brown-grey rebel safehouses. No lightsabers anywhere.",Andor S1 official poster (Luthen + Cassian)
e_mando_s2_finale,Mandalorian S2 Finale,episode,new_republic,"Mandalorian, Jedi Order",The Mandalorian S2 (2020),show,canon,"'Chapter 16: The Rescue', final episode of Mandalorian Season 2, featuring the Luke Skywalker cameo and Grogu's departure with the Jedi.","The Luke cameo is fan service done right because it's earned by the Mando-Grogu arc. S1 and S2 were genuinely amazing — S3 didn't keep up.",9,"cathartic, tragic","Dark Imperial cruiser corridors, dark trooper black armor, a hooded figure in black robes with a green lightsaber cutting through them, final ramp-scene of farewell.",Mando S2 finale hooded Luke ramp moment
e_book_of_boba,Book of Boba Fett,episode,new_republic,Bounty Hunter,The Book of Boba Fett (2021),show,canon,"Disney+ series following Boba Fett's takeover of Jabba's old throne on Tatooine after his return in The Mandalorian.","Just a wasted premise. Boba sitting on a throne for six episodes when he could have been doing literally anything else. The two Mando-centric episodes in the middle are the best of the show.",3,tragic,"Tatooine palace interiors, Boba in green-and-red Mandalorian armor on a stone throne, scenes of him in Tusken robes in the desert, Vespa-like swoop gangs.",Book of Boba Boba on throne in Jabba's palace
c_bb8,BB-8,character,sequel,Resistance,The Force Awakens (2015),film,canon,"Spherical astromech droid belonging to Poe Dameron, central to the sequel trilogy. Successor in spirit to R2-D2.","One of the cutest things Star Wars has produced. The little head movements, the lighter-thumbs-up moment in TFA — the physical puppet work made him instantly lovable. Easily the best new thing about the sequels.",9,"epic, goofy","Small white-and-orange spherical droid body with a domed head that rolls freely on top, antennas, expressive single eye-lens.",TFA Jakku desert shot or Resistance base portrait
c_r2d2,R2-D2,character,prequel,"Rebel Alliance, Jedi Order",The Phantom Menace (1999),film,canon,"Astromech droid, partner of C-3PO, central to all nine Skywalker Saga films. Has somehow been present at every important event in galactic history.","Cutest little droid and one of the most consistent characters in the saga. The fact that he's secretly been in the middle of every major moment in galactic history is great running comedy. Carries scenes with beeps alone.",10,"epic, goofy","Short cylindrical astromech droid with a blue-and-white domed head, three legs (one retractable), various tool ports popping out of his body.",ANH or ROTJ side profile preferred OT-era practical effects
c_c3po,C-3PO,character,prequel,Rebel Alliance,The Phantom Menace (1999),film,canon,"Protocol droid fluent in over six million forms of communication, R2-D2's perpetual companion, present across the entire Skywalker Saga.","The fussy worrying-uncle energy works better than it has any right to. 'We're doomed' and 'shut him down' between him and R2 are some of the best comedy in OT. Pairs perfectly with R2 — neither works as well solo.",9,"epic, goofy","Tall humanoid protocol droid covered in gold plating, exposed wiring at joints, walks stiffly with arms held at chest height.",ANH gold-plated portrait OT-era preferred
